,spotify_id,name_id,name,followers,betweeness_centrality,group,unique_collabs,total_collabs,image
431,7awyvLSthqOcL5A3hnR1pf,Alex Gargolas,Alex Gargolas,53856,71.947893,0,42,118,https://i.scdn.co/image/ab6761610000e5ebfdfceb6ce0e3685aaef60bc7
432,1AACxWCwNIa3ecOBQJnXRV,Nino Freestyle,Nino Freestyle,114525,277.52488,0,19,18,https://i.scdn.co/image/ab6761610000e5eba90c3f60fad4ffd03007c435
433,5YekZn3GGnPIURNA6RG124,Ana Torroja,Ana Torroja,590648,4857.0511,5,22,64,https://i.scdn.co/image/ab6761610000e5eb8b292ea605f0b366b81b66d5
434,6IE6z7DcZIT4Ml3Fh5Ivch,Selena,Selena,2846836,724.586293,0,5,8,https://i.scdn.co/image/ab6761610000e5eb2c4b4251247aa30c7b6de155
435,7p5DVejD1eXP8GO6clYQlE,Alvaro Torres,Alvaro Torres,245496,8.323676,5,3,3,https://i.scdn.co/image/ab6761610000e5eb88026d16cdb20899234a4eb5
436,4F4pp8NUW08JuXwnoxglpN,Bad Gyal,Bad Gyal,750208,1258.490725,3,11,251,https://i.scdn.co/image/ab6761610000e5eb6d2d0aa45aca13037f0b54bd
437,4kKaAWGdu6WW0W415RWaQA,South Park Mexican,South Park Mexican,751865,208.147462,2,13,8,https://i.scdn.co/image/ab6761610000e5eb7d1939bbae5aa20bf104034f
438,2gKYxTUOqw9aPt7ljMwSHT,Orishas,Orishas,421030,599.754852,1,12,13,https://i.scdn.co/image/ab6761610000e5eb53719f3b53a4ed3ec4829222
439,3lY9Fxceu60W1rbon7PkuF,Omar Montes,Omar Montes,429816,9964.126126,3,33,207,https://i.scdn.co/image/ab6761610000e5ebb482ef57eda2cd57e7661446
440,0GWdY55YF6xzN5L1A0X8nq,Pitizion,Pitizion,100869,1066.260032,1,9,55,https://i.scdn.co/image/ab6761610000e5eb5afcc391d8e3876040a109ed
441,7gR53ad9JjCweCv4f9MWEX,Eddy Lover,Eddy Lover,387524,361.125937,6,8,99,https://i.scdn.co/image/ab6761610000e5eb59ac817f9ff22a8faa678c4d
442,2AZOALDIBORfbzKTuliwdJ,Cristian Castro,Cristian Castro,2533521,1326.067387,5,15,14,https://i.scdn.co/image/45025bd1014527e8f113b22fa647da7a142c3d6c
443,3YHFRVdfHlJ98iAc50PIYk,Benny,Benny,253654,5810.039596,0,36,58,https://i.scdn.co/image/ab6761610000e5eba930ac00ac3eabc9de737522
444,1c22GXH30ijlOfXhfLz9Df,Elvis Crespo,Elvis Crespo,823766,3218.770026,5,31,37,https://i.scdn.co/image/ab6761610000e5ebf9cef9d3691a827de8f1cf3f
445,2GrNjfw23jqL1NTopPlc6c,Pedro Guerra,Pedro Guerra,168404,748.150295,5,17,30,https://i.scdn.co/image/ab6761610000e5eb7cce2a70d6ef089fb7973325
446,36KsCCwgI0Dep97yVJWmkK,Monsieur Periné,Monsieur Periné,515291,713.577524,5,12,13,https://i.scdn.co/image/ab6761610000e5ebaf1b90db208cf554c44b7ddc
447,6kaefrHSdAvxhhCVDFTCEL,Dulce María,Dulce María,666527,1026.193311,5,7,29,https://i.scdn.co/image/ab6761610000e5eb0ef534da716d886451374f17
448,4IjHltwoSKbUeZLPeULyDe,Nahuel Pennisi,Nahuel Pennisi,78282,214.623461,5,20,8,https://i.scdn.co/image/ab6761610000e5eb331fe3853209166a883c4c2d
449,2tY2GFdhH0Wa2VBvsxew5X,Alex Ubago,Alex Ubago,1873181,3737.689551,3,16,26,https://i.scdn.co/image/ab6761610000e5ebe39d6ee27ad7186cb9c6f4c3
450,4J0m1OquRGY8HYHxMocXfy,Bulin 47,Bulin 47,271179,191.224389,0,23,75,https://i.scdn.co/image/ab6761610000e5eb5c86b4939130923027399156
451,6NAhbfEqeWELwfjH391Vz0,Bulova,Bulova,131083,499.670686,0,28,51,https://i.scdn.co/image/ab6761610000e5eb2ded1511978619168d08f677
