id,label,interval,followers,popularity,id,componentnumber,strongcompnum,indegree,outdegree,unique_collabs,weighted_indegree,weighted_outdegree,total_collabs,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks
Darkiel,Darkiel,,1038401,62,4z19QMyPVRwbd4Fs2LisBa,0,22,31,30,61,49,56,105,7,0.298494,0.348958,583.383878,0,0.002444
Nio Garcia,Nio Garcia,,3423473,74,5hdhHgpxyniooUiQVaPxQ0,0,22,42,46,88,81,135,216,7,0.319431,0.381631,3621.916984,0,0.003723
Sebastian Yatra,Sebastian Yatra,,19541830,80,07YUOmWljBTXwIseAUd9TW,0,22,25,30,55,175,150,325,6,0.34832,0.396365,9046.103361,3,0.002294
Guaynaa,Guaynaa,,725324,68,0BqURncJM5B1BBu7UM51eq,0,22,32,13,45,195,108,303,7,0.296524,0.337124,5461.760254,3,0.003649
Mau y Ricky,Mau y Ricky,,5233974,73,2wkoKEfS6dXwThbyTnZWFU,0,22,29,18,47,67,30,97,7,0.312761,0.353649,4255.68861,3,0.002332
Alvaro Diaz,Alvaro Diaz,,195478,67,5J7rXWjtn5HzUkJ4Jet8Fr,0,22,19,19,38,45,67,112,6,0.310886,0.349357,3396.517754,0,0.00207
Reik,Reik,,7413568,77,0vR2qb8m9WHeZ5ByCbimq2,0,22,22,18,40,93,33,126,7,0.316432,0.357754,4321.225913,3,0.002104
Lalo Ebratt,Lalo Ebratt,,1737866,65,1GAymyGBvB4gQy5Z5LZ1Wj,0,22,22,12,34,110,200,310,6,0.304289,0.338254,2173.003133,3,0.001518
Llane,Llane,,57377,56,7A02nc5WKMBLqSKXxGZ4o8,0,22,9,8,17,20,16,36,7,0.283551,0.313978,2633.546438,3,0.001196
Beret,Beret,,2623712,69,0ZHPrnImGh4re3TbSNkoZl,0,22,10,5,15,19,7,26,7,0.282245,0.303974,2691.282618,3,0.000902
Cali Y El Dandee,Cali Y El Dandee,,3627559,70,5DUlefCLzVRzNWaNURTFpK,0,22,16,21,37,56,117,173,6,0.321565,0.36318,3555.629472,3,0.00127
Lary Over,Lary Over,,4424500,66,1jSjfSgDjedJdi5MoyRu78,0,22,23,21,44,36,46,82,7,0.291775,0.338116,1102.073204,0,0.002154
Nacho,Nacho,,4587649,66,2ayNSoKPCRAfjp6hQ76hRu,0,22,24,37,61,143,149,292,7,0.345641,0.396948,8329.641633,1,0.001586
Pablo Alborán,Pablo Alborán,,4485464,72,5M9Bb4adKAgrOFOhc05Y50,0,22,15,18,33,22,72,94,7,0.313197,0.353476,4397.231861,5,0.001566
Jorge Celedón,Jorge Celedón,,1448564,60,7rNbdH4pgrnwguvzxhA2Ek,0,22,9,18,27,10,20,30,6,0.306922,0.342631,5818.336526,3,0.000693
Rosario,Rosario,,664441,63,05xSLrRgGwm2nCH2SmnNMW,0,22,9,6,15,11,33,44,8,0.223772,0.239932,1036.955505,5,0.000742
Aitana,Aitana,,2125129,76,7eLcDZDYHXZCebtQmVFL25,0,22,9,36,45,19,91,110,6,0.35013,0.397552,9692.795015,3,0.000818
Paulo Londra,Paulo Londra,,17636967,79,3vQ0GE3mI0dAaxIMYe5g7z,0,22,4,3,7,8,6,14,8,0.254052,0.281678,21.806791,2,0.000466
Ken-Y,Ken-Y,,316113,62,4DYFVNKZ1uixa6SQTvzQwJ,0,22,19,12,31,111,96,207,7,0.284508,0.3224,588.240191,1,0.001906
Trebol Clan,Trebol Clan,,1402911,59,3YXpTiyVmYCfANOlnWv6vr,0,22,13,22,35,16,66,82,7,0.281302,0.326,183.437254,0,0.001195
Luis Vargas,Luis Vargas,,254673,53,6Mjbr8K3MiiRMqmFIB4zWq,0,22,5,8,13,7,15,22,7,0.266931,0.290893,880.380788,5,0.000634
El Chaval de la Bachata,El Chaval de la Bachata,,280165,53,4RnIr0AAau1SBJMbjJ9poC,0,22,2,2,4,3,3,6,8,0.211219,0.223681,56.848744,5,0.000634
Kiko Rodriguez,Kiko Rodriguez,,94912,50,1YYp1qwJ7EAitFINQ7gOKV,0,22,2,2,4,3,2,5,8,0.218194,0.231707,146.506921,5,0.000634
Juan Luis Guerra 4.40,Juan Luis Guerra 4.40,,3124043,73,3nlpTZci9O5W8RsNoNH559,0,22,25,3,28,28,4,32,7,0.245627,0.263095,852.025462,5,0.001574
Frank Reyes,Frank Reyes,,544313,56,4vQV1LCGBdYAt5rIIPjSFZ,0,22,4,1,5,7,1,8,9,0.191913,0.202006,123.190907,1,0.000876
Aventura,Aventura,,6178963,76,1qto4hHid1P71emI6Fd8xi,0,22,1,6,7,2,12,14,7,0.274095,0.301604,37.698938,1,0.000364
Monchy & Alexandra,Monchy & Alexandra,,771901,59,3rs3EOlJ8jyPpdGiQ9Mhub,0,22,4,1,5,5,1,6,9,0.198937,0.210026,508.268754,0,0.000829
Elvis Martinez,Elvis Martinez,,232108,50,66U02qGDesTqZImnLSiYeE,0,22,1,1,2,2,1,3,8,0.228707,0.245908,4.66067,1,0.000364
Julio Iglesias,Julio Iglesias,,2192504,67,4etuCZVdP8yiNPn4xf0ie5,0,22,3,8,11,5,8,13,6,0.286565,0.314441,1089.792261,1,0.000488
Mala Rodríguez,Mala Rodríguez,,473340,58,3Ces1OJeGOVGcUB0wPaPXJ,0,22,11,7,18,39,31,70,7,0.264833,0.28901,4004.770712,3,0.002731
Nicki Nicole,Nicki Nicole,,3064024,77,2UZIAOlrnyZmyzt1nuXr9y,0,22,13,12,25,19,18,37,7,0.298759,0.334128,7171.753099,2,0.001342
Pedro Capó,Pedro Capó,,1507684,68,4QVBYiagIaa6ZGSPMbybpy,0,22,24,5,29,45,11,56,7,0.296524,0.324064,3015.297264,5,0.002003
Camilo Sesto,Camilo Sesto,,3051494,64,2Cy7KBSkqu7otJfuMTWT7Y,0,22,2,3,5,101,5,106,7,0.251774,0.274117,142.274022,5,0.000406
