,spotify_id,name_id,name,followers,popularity,betweeness_centrality,group,unique_collabs,total_collabs,image
251,0r8toju2ecKaVtItkzAnNi,Aleks Syntek,Aleks Syntek,1250900,65,5554.709378,6,23,33,https://i.scdn.co/image/ab6761610000e5eb9f85f661de8271cff40fa8b2
252,2uEjXyVi0SA1HPpj3zquXh,Noel Schajris,Noel Schajris,986308,56,925.841535,6,20,28,https://i.scdn.co/image/ab6761610000e5ebf5dcec71b91102b11987d1c5
253,4kcnsS1aAB40FMcLD01gmI,KURT,KURT,240408,62,4014.587932,6,17,29,https://i.scdn.co/image/ab6761610000e5ebfc07203eae732c92d72f2025
254,4N5fp4zhTsVITZTVfsXpc2,Víctor Manuelle,Víctor Manuelle,1451981,63,4676.567554,6,34,49,https://i.scdn.co/image/ab6761610000e5ebe3f87bc61eaedafe14b814a9
255,6Itjwvv5YmsC8ZcI5N4Jux,Sael,Sael,28329,59,4301.502407,2,31,34,https://i.scdn.co/image/ab6761610000e5ebcb7f584dba6d09a0120103c1
256,2bxxlINUlcMQQb39K7IopR,Abraham Mateo,Abraham Mateo,1405046,63,1755.36536,6,29,36,https://i.scdn.co/image/ab6761610000e5eb5e4204f8cf61cf28d566fb6e
257,5LeiVcEnsZcwc133TUhJNW,Belinda,Belinda,1483278,70,2213.782188,6,24,44,https://i.scdn.co/image/ab6761610000e5eb0bd2a5deecd7641dfd693e34
258,0h1zs4CTlU9D2QtgPxptUD,Ricardo Arjona,Ricardo Arjona,9548021,75,190.390877,6,8,16,https://i.scdn.co/image/ab6761610000e5eb9b7e4f8e868dc2adfe6c3f4d
259,0K9pSmFx0kWESA9jqx8aCW,Gaby Moreno,Gaby Moreno,71506,58,197.931784,6,5,10,https://i.scdn.co/image/ab6761610000e5eb263510f107551299b233f338
260,69UypehHabb68utzfjAVlV,Kany García,Kany García,1621175,69,9607.180292,6,34,40,https://i.scdn.co/image/ab6761610000e5ebea847a803f68d39eae07afa2
261,3zhijRRIZX2B6G2T7vJl9p,Mijares,Mijares,1643074,66,1414.071385,6,21,43,https://i.scdn.co/image/ab6761610000e5eb084fa23929cb593f08f8dfce
262,1noWnd8QFQD9VLxWEeo4Zf,Don Miguelo,Don Miguelo,211409,56,790.249758,13,20,22,https://i.scdn.co/image/ab67616d0000b273ba89160205df90af1437e0b2
